date,I,S,inc,R,cases,ran_cases,index
1944-08-05,566.802,178168,61.2764,2.22127e+06,49.2966,47.415,0
1944-08-06,559.545,178238,60.5084,2.2212e+06,48.6787,53.8328,0
1944-08-07,552.399,178309,59.7527,2.22114e+06,48.0707,45.5533,0
1944-08-08,545.362,178381,59.0091,2.22107e+06,47.4725,50.6542,0
1944-08-09,538.434,178453,58.2775,2.22101e+06,46.884,44.496,0
1944-08-10,531.613,178526,57.5579,2.22094e+06,46.305,48.3315,0
1944-08-11,524.899,178600,56.8499,2.22087e+06,45.7355,44.9171,0
1944-08-12,518.29,178675,56.1536,2.22081e+06,45.1753,45.0629,0
1944-08-13,511.785,178750,55.4687,2.22074e+06,44.6243,43.1613,0
1944-08-14,505.383,178826,54.7951,2.22067e+06,44.0824,49.1999,0
1944-08-15,499.083,178903,54.1328,2.2206e+06,43.5495,42.7349,0
1944-08-16,492.884,178980,53.4814,2.22053e+06,43.0255,36.4091,0
1944-08-17,486.784,179058,52.841,2.22046e+06,42.5103,45.5159,0
1944-08-18,480.782,179136,52.2113,2.22038e+06,42.0037,41.6584,0
1944-08-19,474.878,179215,51.5923,2.22031e+06,41.5057,39.8501,0
1944-08-20,469.07,179295,50.9837,2.22024e+06,41.0162,35.8121,0
1944-08-21,463.357,179375,50.3856,2.22016e+06,40.5349,44.3509,0
1944-08-22,457.737,179456,49.7976,2.22009e+06,40.0619,37.5041,0
1944-08-23,452.211,179537,49.2198,2.22001e+06,39.597,38.8482,0
1944-08-24,446.776,179619,48.6519,2.21993e+06,39.1402,37.732,0
1944-08-25,441.432,179702,48.0938,2.21986e+06,38.6912,36.7563,0
1944-08-26,436.176,179785,47.5454,2.21978e+06,38.2501,38.9639,0
1944-08-27,431.01,179869,47.0067,2.2197e+06,37.8166,40.6036,0
1944-08-28,425.93,179953,46.4773,2.21962e+06,37.3908,41.9327,0
1944-08-29,420.936,180038,45.9573,2.21954e+06,36.9724,35.5436,0
1944-08-30,416.027,180123,45.4465,2.21946e+06,36.5615,39.9387,0
1944-08-31,411.203,180208,44.9447,2.21938e+06,36.1578,33.9279,0
1944-09-01,406.46,180295,44.4519,2.2193e+06,35.7613,34.6235,0
